Date,Open,High,Low,Close,Volume
16/08/2021,"1,357.05","1,372.33","1,357.05","1,370.96",827.71K
13/08/2021,"1,353.05","1,357.41","1,336.74","1,357.05",744.15K
12/8/2021,"1,357.79","1,365.01","1,353.05","1,353.05",741.56K
11/8/2021,"1,362.43","1,374.03","1,357.79","1,357.79",806.77K
10/8/2021,"1,359.86","1,370.35","1,358.12","1,362.43",716.54K
9/8/2021,"1,341.45","1,361.12","1,334.69","1,359.86",688.43K
6/8/2021,"1,345.55","1,351.85","1,341.45","1,341.45",736.16K
5/8/2021,"1,334.74","1,346.62","1,326.80","1,345.55",635.47K
4/8/2021,"1,332.44","1,340.76","1,328.40","1,334.74",661.80K
3/8/2021,"1,314.22","1,332.44","1,314.22","1,332.44",647.01K
2/8/2021,"1,310.05","1,322.35","1,304.49","1,314.22",614.53K
30/07/2021,"1,293.60","1,311.97","1,293.60","1,310.05",644.44K
29/07/2021,"1,277.07","1,293.60","1,277.07","1,293.60",491.06K
28/07/2021,"1,276.93","1,281.17","1,271.78","1,277.07",406.89K
27/07/2021,"1,272.71","1,288.35","1,272.71","1,276.93",566.75K
26/07/2021,"1,268.83","1,277.33","1,254.57","1,272.71",508.55K
23/07/2021,"1,293.67","1,295.63","1,268.83","1,268.83",582.25K
22/07/2021,"1,270.79","1,294.16","1,266.54","1,293.67",536.41K
21/07/2021,"1,273.29","1,284.33","1,266.71","1,270.79",451.95K
20/07/2021,"1,243.51","1,273.29","1,225.52","1,273.29",568.60K
19/07/2021,"1,299.31","1,299.31","1,237.79","1,243.51",731.02K
16/07/2021,"1,293.92","1,304.37","1,293.92","1,299.31",415.12K
15/07/2021,"1,279.91","1,299.18","1,270.77","1,293.92",419.14K
14/07/2021,"1,297.54","1,305.37","1,264.68","1,279.91",547.97K
13/07/2021,"1,296.30","1,307.73","1,278.30","1,297.54",500.18K
12/7/2021,"1,347.14","1,347.14","1,270.06","1,296.30",912.74K
9/7/2021,"1,374.68","1,374.68","1,335.90","1,347.14",713.99K
8/7/2021,"1,388.55","1,388.55","1,363.92","1,374.68",528.83K
7/7/2021,"1,354.79","1,388.55","1,334.58","1,388.55",733.80K
6/7/2021,"1,411.13","1,418.99","1,354.79","1,354.79",773.51K
5/7/2021,"1,420.27","1,421.52","1,394.12","1,411.13",774.45K
2/7/2021,"1,422.89","1,424.28","1,415.82","1,420.27",706.83K
1/7/2021,"1,412.15","1,417.27","1,402.18","1,417.08",753.56K
30/06/2021,"1,410.83","1,419.61","1,408.18","1,408.55",595.29K
29/06/2021,"1,408.34","1,416.34","1,406.87","1,410.04",647.39K
28/06/2021,"1,397.96","1,406.02","1,390.56","1,405.81",699.51K
25/06/2021,"1,382.11","1,390.12","1,372.80","1,390.12",598.11K
24/06/2021,"1,376.87","1,384.71","1,372.99","1,379.72",591.75K
23/06/2021,"1,383.15","1,388.33","1,372.06","1,376.87",710.77K
22/06/2021,"1,380.84","1,385.98","1,375.00","1,379.97",746.95K
21/06/2021,"1,373.59","1,381.74","1,367.85","1,372.63",768.18K
18/06/2021,"1,366.19","1,377.77","1,363.52","1,377.77",809.47K
17/06/2021,"1,341.06","1,364.55","1,337.49","1,359.92",768.73K
16/06/2021,"1,363.85","1,370.14","1,350.73","1,356.52",769.63K
15/06/2021,"1,361.58","1,372.72","1,356.59","1,367.36",730.94K
14/06/2021,"1,352.73","1,368.53","1,352.73","1,361.72",775.73K
11/6/2021,"1,326.79","1,352.47","1,322.08","1,351.74",731.26K
10/6/2021,"1,332.90","1,336.71","1,317.49","1,323.58",723.49K
9/6/2021,"1,323.52","1,339.14","1,312.08","1,332.90",822.29K
8/6/2021,"1,355.36","1,364.48","1,318.11","1,319.88",924.51K
7/6/2021,"1,374.59","1,375.74","1,347.21","1,358.78",876.69K
4/6/2021,"1,367.06","1,374.05","1,360.42","1,374.05",943.33K
3/6/2021,"1,345.21","1,366.00","1,345.21","1,364.28",898.88K
2/6/2021,"1,337.78","1,344.98","1,330.82","1,340.78",805.24K
1/6/2021,"1,329.47","1,346.34","1,328.84","1,337.78",629.42K
